Submitted at,Country you live and work in,City,Gender,Your age,Your job title,What is your current type of employment?,Level of seniority,Primary field of work,Years of relevant design experience,Years of total working experience,Highest level of formal education attained,Did you have design-related education (Formal/informal)?,Select the relevant design-related education. Select all that apply.,"Select the relevant design-related education. Select all that apply. (Formal design education (Diploma, Degree..))",Select the relevant design-related education. Select all that apply. (Online certification (e.g. Coursera or IDF)),Select the relevant design-related education. Select all that apply. (Bootcamps (e.g. General Assembly)),Select the relevant design-related education. Select all that apply. (In-person certified courses),Select the relevant design-related education. Select all that apply. (Self-taught / informal / unstructured courses),Have you lived and worked in another country?,Currency you draw your salary in,Would you like to share your base salary on a monthly or annual basis?,Annual base salary,Monthly base salary,Annual bonus,Annual stock grant (in local currency),Other compensation (annual basis),Annual Total Comp,Annual Total Comp (SGD),Other benefits,What type of company do you currently work for?,Industry your company is in,Company size,Size of design team,Are you physically located at your company headquarters?,Work arrangement at company,Company name
2024-10-23 7:29:50,Indonesia,Jakarta,Man,25 - 30,Poster Designer,Fixed term contractor,Senior IC,Marketing / graphic design,4,4,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"6,100,000","5,000,000",,,"78,200,000","6,569","Health insurance, Wellness (gym, fitness, etc), Paid time off / vacation time, Professional development, training, or learning fund",Start-up,"Technology, media & telecommunications","1001 - 10,000",11 - 50,Yes,3 days on-site,Vidio
2024-10-23 7:29:56,Indonesia,Malang,Man,18 - 24,Product Designer,Full-time employee,Junior IC (Entry level),Product / UX design,1,1,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"3,000,000",,,,"36,000,000","3,024","Paid time off / vacation time, Flexible schedule",Agency / Consulting,"Technology, media & telecommunications",11 - 50,11 - 50,No,Fully remote,
2024-10-23 7:34:51,Indonesia,Jakarta,Man,18 - 24,Product Designer,Full-time employee,Mid-level IC,Product / UX design,4,2,Diploma,Yes,"Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly)",FALSE,TRUE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"5,200,000",,,,"62,400,000","5,242","Health insurance, Flexible schedule",Small-medium enterprise,"Technology, media & telecommunications",51 - 200,2 - 10,Yes,Fully on-site,
2024-10-23 7:38:10,Indonesia,Denpasar,Man,18 - 24,UI/UX Designer,Full-time employee,Lead / Staff / Principal IC,Product / UX design,3,3,High school / secondary school,No,,,,,,,No,IDR,Monthly,,"4,500,000",,,,"54,000,000","4,536","Health insurance, Dental insurance, Paid time off / vacation time, Flexible schedule",Start-up,Government & public services,51 - 200,2 - 10,No,Fully remote,
2024-10-23 7:44:13,Indonesia,Bogor,Woman,18 - 24,Product Designer,Fixed term contractor,Junior IC (Entry level),Visual / UI design,3,2,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Bootcamps (e.g. General Assembly), Self-taught / informal / unstructured courses",TRUE,FALSE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"5,000,000",,,,"60,000,000","5,040",,Small-medium enterprise,Financial services,51 - 200,2 - 10,No,Fully on-site,
2024-10-23 7:44:24,Indonesia,Bandung,Man,25 - 30,Ux Designer,Full-time employee,Mid-level IC,Product / UX design,5,5,High school / secondary school,No,,,,,,,Yes,IDR,Monthly,,"7,800,000",,,,"93,600,000","7,862",,Agency / Consulting,"Technology, media & telecommunications",11 - 50,2 - 10,No,Fully remote,MOKU Digital
2024-10-23 7:48:22,Indonesia,Palembang,Woman,25 - 30,ILLUSTRATOR,Self-employed (Freelancers; own company),Junior IC (Entry level),Visual / UI design,2,3,Diploma,Yes,"Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly), Self-taught / informal / unstructured courses",FALSE,TRUE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"3,200,000",,,,"38,400,000","3,226","Meal subsidies, Health insurance",Agency / Consulting,"Technology, media & telecommunications",11 - 50,11 - 50,Not applicable,Fully remote,
2024-10-23 7:50:40,Indonesia,Jakarta,Man,25 - 30,UX Writer,Fixed term contractor,Mid-level IC,Content design / UX writer,2,5,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"8,050,000","3,000,000",,,"99,600,000","8,366","Health insurance, Budget for equipment or home office setup",Government,Banking & capital markets,"10,001 and above",11 - 50,Yes,Fully on-site,Bank Mandiri
2024-10-23 7:52:06,Indonesia,Semarang,Man,25 - 30,product designer,Fixed term contractor,Junior IC (Entry level),Product / UX design,1,1,Bachelor's degree,Yes,Bootcamps (e.g. General Assembly),FALSE,FALSE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"5,400,000",,,,"64,800,000","5,443",,Start-up,entertaiment,11 - 50,2 - 10,No,Fully remote,karyakarsa
2024-10-23 7:52:40,Singapore,Singapore,Man,18 - 24,User Experience Design Intern,Intern/Apprentice,Junior IC (Entry level),Product / UX design,3,1,High school / secondary school,No,,,,,,,Yes,SGD,Monthly,,500,,,,"6,000","6,000",,Start-up,Government & public services,1 - 10,2 - 10,Yes,Fully remote,
2024-10-23 7:54:20,Indonesia,Jakarta,Man,25 - 30,Product Designer,Full-time employee,Senior IC,Product / UX design,7,8,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"18,400,000","18,400,000",,,"239,200,000","20,093","Health insurance, Dental insurance, Budget for equipment or home office setup, Wellness (gym, fitness, etc), Allowance for flexible working arrangement (remote/co-working space), Professional development, training, or learning fund, Flexible schedule",Large enterprise (MNC),"Technology, media & telecommunications",201 - 1000,11 - 50,Yes,Fully remote,
2024-10-23 7:56:01,Indonesia,Yogyakarta,Man,25 - 30,Product Designer,Fixed term contractor,Mid-level IC,Product / UX design,3,3,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"12,187,500",,,,"146,250,000","12,285","Onsite food / snacks, Health insurance",Academia / Educational institution,"Technology, media & telecommunications",51 - 200,11 - 50,Yes,Fully on-site,Universitas Gadjah Mada
2024-10-23 7:58:18,Indonesia,Jakarta,Man,31 - 35,Senior UI/UX Designer,Full-time employee,Senior IC,Product / UX design,7,9,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Online certification (e.g. Coursera or IDF)",TRUE,TRUE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"22,500,000","22,500,000",,,"292,500,000","24,570","Health insurance, Paid time off / vacation time, Paid medical leave",Start-up,agriculture,51 - 200,2 - 10,Yes,Fully on-site,
2024-10-23 8:03:45,Indonesia,Jakarta,Man,25 - 30,Freelance Graphic Designer,Self-employed (Freelancers; own company),Mid-level IC,Marketing / graphic design,5,6,Diploma,Yes,"Formal design education (Diploma, Degree..), Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly), Self-taught / informal / unstructured courses",TRUE,TRUE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"5,000,000","750,000",,,"60,750,000","5,103",,Large enterprise (MNC),Consumer products,201 - 1000,Team of 1,No,Fully remote,
2024-10-23 8:05:47,Indonesia,Bali,Man,18 - 24,Graphic Designer,Full-time employee,Mid-level IC,Marketing / graphic design,2,2,High school / secondary school,Yes,Self-taught / informal / unstructured courses,FALSE,FALSE,FALSE,FALSE,TRUE,No,IDR,Monthly,,"4,000,000",,,,"48,000,000","4,032","Health insurance, Paid time off / vacation time",Agency / Consulting,"Technology, media & telecommunications",11 - 50,2 - 10,Yes,Fully remote,Juicebox ID
2024-10-23 8:06:04,Indonesia,Jakarta,Man,18 - 24,UI Designer,Self-employed (Freelancers; own company),Mid-level IC,Visual / UI design,5,5,High school / secondary school,No,,,,,,,Yes,IDR,Monthly,,"8,300,000",,,,"99,600,000","8,366","Health insurance, Paid time off / vacation time, Flexible schedule, Professional development, training, or learning fund, Budget for equipment or home office setup, Allowance for flexible working arrangement (remote/co-working space)",Agency / Consulting,WEB3,11 - 50,2 - 10,Yes,4 days on-site,Indonesia Crypto Network
2024-10-23 8:06:41,Indonesia,Karawang,Woman,31 - 35,UI UX Designer,Self-employed (Freelancers; own company),Mid-level IC,Service Design,2,2,Diploma,Yes,"Bootcamps (e.g. General Assembly), Online certification (e.g. Coursera or IDF), Self-taught / informal / unstructured courses",FALSE,TRUE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"3,000,000",,,,"36,000,000","3,024",Flexible schedule,Upwork,Upwork,1 - 10,Team of 1,Not applicable,Fully remote,Freelancer at Upwork
2024-10-23 8:07:25,Indonesia,Jakarta,Man,25 - 30,Lead Product Designer,Full-time employee,Lead / Staff / Principal IC,Product / UX design,6,6,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"17,500,000",,,,"210,000,000","17,640","Allowance for flexible working arrangement (remote/co-working space), Health insurance, Dental insurance",Start-up,"Technology, media & telecommunications",51 - 200,2 - 10,Yes,1 day on-site,
2024-10-23 8:07:39,Indonesia,Jakarta,Man,25 - 30,UI/UX Designer,Fixed term contractor,Mid-level IC,Visual / UI design,3,3,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"8,000,000",0,0,0,"96,000,000","8,064",,Start-up,Trading Broker,11 - 50,Team of 1,Yes,Fully on-site,PT Delapan Belas Berjangka
2024-10-23 8:12:41,Indonesia,Jakarta,Man,31 - 35,Digital Product Owner,Full-time employee,Senior IC,Product / UX design,7,7,Master's degree,No,,,,,,,Yes,IDR,Monthly,,"20,000,000","40,000,000",,,"280,000,000","23,520","Health insurance, Paid medical leave, Dental insurance, Flexible schedule, Internet / mobile phone subsidies, Transport subsidies, Allowance for flexible working arrangement (remote/co-working space)",Small-medium enterprise,Insurance,201 - 1000,2 - 10,Yes,4 days on-site,IndonesiaRe
2024-10-23 8:16:22,Indonesia,Jakarta,Man,25 - 30,Graphic Designer,Full-time employee,Mid-level IC,Marketing / graphic design,3.5,5,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"8,500,000",,,,"102,000,000","8,568","Paid medical leave, Allowance for flexible working arrangement (remote/co-working space), Budget for equipment or home office setup",Large enterprise (MNC),Financial services,51 - 200,2 - 10,Yes,Fully remote,
2024-10-23 8:17:43,Indonesia,Bandung,Man,25 - 30,Brand Designer,Full-time employee,Senior IC,Design leadership and management,8,10,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,Yes,IDR,Monthly,,"5,500,000",,,,"66,000,000","5,544","Transport subsidies, Flexible schedule, Health insurance, Meal subsidies, Professional development, training, or learning fund",Small-medium enterprise,E-Liquid,51 - 200,2 - 10,Yes,Fully on-site,
2024-10-23 8:18:03,Indonesia,Jakarta,Man,25 - 30,Graphic Designer,Full-time employee,Mid-level IC,Marketing / graphic design,4,7,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"6,000,000",,,,"72,000,000","6,048","Professional development, training, or learning fund, Health insurance",Agency / Consulting,Consultant Firm,11 - 50,Team of 1,No,3 days on-site,Arghajata Consulting
2024-10-23 8:18:43,Indonesia,Jakarta,Man,31 - 35,UI/UX Designer,Full-time employee,Mid-level IC,Product / UX design,3,5,Bachelor's degree,Yes,"Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly)",FALSE,TRUE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"9,700,000",,,,"116,400,000","9,778",,Start-up,"Technology, media & telecommunications",11 - 50,Team of 1,Yes,Fully on-site,
2024-10-23 8:19:47,Indonesia,Pontianak,Woman,25 - 30,UI Designer,Full-time employee,Mid-level IC,Visual / UI design,4,5,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"25,000,000",,,,"300,000,000","25,200",Flexible schedule,Agency / Consulting,"Technology, media & telecommunications",1 - 10,Team of 1,No,Fully remote,
2024-10-23 8:20:42,Indonesia,Jakarta,Man,25 - 30,Graphic Designer,Self-employed (Freelancers; own company),Manager,Marketing / graphic design,6,6,Bachelor's degree,No,,,,,,,No,IDR,Annual,"260,000,000",,,,,"260,000,000","21,840",Flexible schedule,Small-medium enterprise,"Technology, media & telecommunications",1 - 10,Team of 1,Not applicable,Fully remote,
2024-10-23 8:24:30,Indonesia,Palembang,Man,18 - 24,UX Writer,Full-time employee,Mid-level IC,Content design / UX writer,2,1,Bachelor's degree,Yes,"Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly)",FALSE,TRUE,TRUE,FALSE,FALSE,Yes,IDR,Monthly,,"3,200,000",,,,"38,400,000","3,226","Professional development, training, or learning fund, Wellness (gym, fitness, etc), Paid time off / vacation time, Internet / mobile phone subsidies",Agency / Consulting,"Technology, media & telecommunications",11 - 50,2 - 10,No,Fully remote,
2024-10-23 8:25:55,Indonesia,Jakarta,Man,18 - 24,UI/UX Designer,Full-time employee,Mid-level IC,Visual / UI design,4,2,Bachelor's degree,Yes,"Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly), Self-taught / informal / unstructured courses",FALSE,TRUE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"7,500,000",,,,"90,000,000","7,560",Health insurance,Agency / Consulting,Consumer products,51 - 200,2 - 10,Yes,1 day on-site,member.id
2024-10-23 8:28:25,Indonesia,Jakarta,Man,25 - 30,Sr. UI/UX Designer,Full-time employee,Senior IC,Product / UX design,7,7,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"18,000,000","36,000,000",,,"252,000,000","21,168","Flexible schedule, Paid time off / vacation time",Agency / Consulting,"Technology, media & telecommunications",51 - 200,11 - 50,Yes,Fully on-site,Aleph-Labs Indonesia
2024-10-23 8:28:34,Indonesia,Jakarta,Man,18 - 24,UI/UX Designer,Full-time employee,Mid-level IC,Product / UX design,2,2,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"6,400,000","3,900,000",,"6,400,000","87,100,000","7,316","Health insurance, Dental insurance, Paid time off / vacation time, Onsite food / snacks, Professional development, training, or learning fund",Start-up,"Technology, media & telecommunications",51 - 200,2 - 10,Yes,3 days on-site,
2024-10-23 8:28:52,Indonesia,Jakarta,Man,25 - 30,UI/UX Designer,Full-time employee,Mid-level IC,Product / UX design,2,5,Bachelor's degree,Yes,"Bootcamps (e.g. General Assembly), Online certification (e.g. Coursera or IDF)",FALSE,TRUE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"7,500,000","7,500,000",,,"97,500,000","8,190",,Agency / Consulting,"Technology, media & telecommunications",11 - 50,2 - 10,No,3 days on-site,
2024-10-23 8:30:06,Indonesia,Jakarta,Man,25 - 30,UI Designer,Fixed term contractor,Mid-level IC,Visual / UI design,3,5,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Bootcamps (e.g. General Assembly)",TRUE,FALSE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"7,000,000",,,,"84,000,000","7,056",,Large enterprise (MNC),"Technology, media & telecommunications","1001 - 10,000",2 - 10,Yes,Fully on-site,Telkomsel
2024-10-23 8:30:11,Indonesia,Jakarta,Man,25 - 30,Digital product designer,Full-time employee,Junior IC (Entry level),Product / UX design,1,1,Bachelor's degree,Yes,"Bootcamps (e.g. General Assembly), Self-taught / informal / unstructured courses",FALSE,FALSE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"5,500,000",,,,"66,000,000","5,544",Allowance for flexible working arrangement (remote/co-working space),Start-up,SaaS,51 - 200,Team of 1,Yes,3 days on-site,
2024-10-23 8:30:15,Indonesia,Jakarta,Woman,18 - 24,UI/UX Designer,Full-time employee,Junior IC (Entry level),Visual / UI design,4,3,Bachelor's degree,Yes,"Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly), Self-taught / informal / unstructured courses",FALSE,TRUE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"5,500,000",,,,"66,000,000","5,544",Health insurance,Start-up,Health care,11 - 50,Team of 1,Yes,Fully remote,PT Bicarakan Isi Hatimu
2024-10-23 8:31:47,Indonesia,Bandung,Woman,18 - 24,Creative Designer,Full-time employee,Mid-level IC,Marketing / graphic design,1,3,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"4,000,000",,,,"48,000,000","4,032",Meal subsidies,Start-up,Consumer products,1 - 10,Team of 1,Yes,Fully on-site,Woodka Watch
2024-10-23 8:37:33,Indonesia,Jakarta,Man,25 - 30,Design Creative,Full-time employee,Lead / Staff / Principal IC,Marketing / graphic design,4,5,High school / secondary school,Yes,"Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly)",FALSE,TRUE,TRUE,FALSE,FALSE,Yes,MYR,Monthly,,"4,000",,,,"48,000","14,549",,Start-up,Financial services,51 - 200,2 - 10,No,Fully remote,Parla Consultancy Sdn Bhd
2024-10-23 8:39:35,Indonesia,Denpasar,Woman,31 - 35,UX Writing Lead,Full-time employee,Lead / Staff / Principal IC,Content design / UX writer,8,13,Master's degree,No,,,,,,,Yes,IDR,Monthly,,"28,000,000","70,000,000",,,"406,000,000","34,104","Flexible schedule, Paid medical leave, Health insurance, Paid time off / vacation time, Dental insurance, Professional development, training, or learning fund",Start-up,Financial services,51 - 200,11 - 50,Not applicable,Fully remote,
2024-10-23 8:42:32,Indonesia,Bekasi,Man,25 - 30,VP of Design,Full-time employee,Director / VP*,Product Design,5,4,Bachelor's degree,No,,,,,,,Yes,EUR,Monthly,,"8,000",,,,"96,000","136,320",Allowance for flexible working arrangement (remote/co-working space),Large enterprise (MNC),Consumer products,"1001 - 10,000",51 - 100,Yes,Fully remote,Monzo
2024-10-23 8:44:41,Indonesia,Jakarta,Man,25 - 30,Graphic Designer,Full-time employee,Junior IC (Entry level),Marketing / graphic design,3,3,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"6,500,000",,,,"78,000,000","6,552","Paid medical leave, Onsite food / snacks, Flexible schedule",Agency / Consulting,"Technology, media & telecommunications",1 - 10,2 - 10,Yes,Fully on-site,
2024-10-23 8:44:44,Indonesia,Jakarta,Woman,25 - 30,UI/UX Designer Spesialist,Full-time employee,Senior IC,Product / UX research,4,5,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"12,000,000","14,000,000",,,"158,000,000","13,272","Paid medical leave, Health insurance, Transport subsidies, Professional development, training, or learning fund",Large enterprise (MNC),Financial services,"1001 - 10,000",2 - 10,Yes,Fully on-site,Bank Mega
2024-10-23 8:47:11,Singapore,Singapore,Woman,25 - 30,Product Designer,Full-time employee,Junior IC (Entry level),Product / UX design,1,3,Bachelor's degree,Yes,Online certification (e.g. Coursera or IDF),FALSE,TRUE,FALSE,FALSE,FALSE,Yes,SGD,Monthly,,"4,500",,,,"54,000","54,000",,Start-up,Financial services,11 - 50,Team of 1,Yes,Fully remote,
2024-10-23 8:55:45,Indonesia,Bogor,Woman,31 - 35,Ui ux consultant,Full-time employee,Mid-level IC,Visual / UI design,3,8,Bachelor's degree,Yes,"Online certification (e.g. Coursera or IDF), Self-taught / informal / unstructured courses",FALSE,TRUE,FALSE,FALSE,TRUE,No,IDR,Monthly,,"12,000,000","10,000,000",,,"154,000,000","12,936","Health insurance, Dental insurance",Agency / Consulting,"Technology, media & telecommunications",11 - 50,Team of 1,No,Fully remote,Deeeplabs
2024-10-23 8:59:41,Indonesia,Bogor,Prefer not to respond,25 - 30,Designer and art director,Full-time employee,Manager,Marketing / graphic design,7,7,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Self-taught / informal / unstructured courses",TRUE,FALSE,FALSE,FALSE,TRUE,No,IDR,Monthly,,"7,500,000","3,750,000",,,"93,750,000","7,875","Paid time off / vacation time, Allowance for flexible working arrangement (remote/co-working space), Wellness (gym, fitness, etc), Flexible schedule, Professional development, training, or learning fund",Agency / Consulting,"Technology, media & telecommunications",11 - 50,2 - 10,Not applicable,Fully remote,
2024-10-23 9:00:05,Indonesia,Jakarta,Man,36 - 40,Head/Lead UX Writer,Fixed term contractor,Lead / Staff / Principal IC,Content design / UX writer,5,15,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"38,000,000","76,000,000",,,"532,000,000","44,688",,Large enterprise (MNC),"Technology, media & telecommunications","10,001 and above",101 and above,Yes,Fully on-site,
2024-10-23 9:00:20,Indonesia,Jakarta,Woman,18 - 24,Lead Designer,Full-time employee,Senior IC,Visual / UI design,5,5,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"15,000,000",,,,"180,000,000","15,120",Health insurance,Small-medium enterprise,Investment management,51 - 200,2 - 10,Yes,Fully on-site,
2024-10-23 9:02:41,Indonesia,Jakarta,Man,18 - 24,UI/UX Designer,Full-time employee,Mid-level IC,Product / UX design,2,3,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"8,000,000","7,000,000",,,"103,000,000","8,652","Health insurance, Paid time off / vacation time, Allowance for flexible working arrangement (remote/co-working space), Paid medical leave",Government,Banking & capital markets,201 - 1000,2 - 10,Yes,3 days on-site,PT Bank Hibank Indonesia
2024-10-23 9:03:06,Indonesia,Jakarta,Man,25 - 30,Product Designer,Full-time employee,Mid-level IC,Product / UX design,4,4,Bachelor's degree,Yes,"Bootcamps (e.g. General Assembly), Formal design education (Diploma, Degree..)",TRUE,FALSE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"9,000,000",,,,"108,000,000","9,072","Paid time off / vacation time, Flexible schedule, Health insurance, Onsite food / snacks",Agency / Consulting,"Technology, media & telecommunications",51 - 200,Team of 1,Yes,2 days on-site,Immobi
2024-10-23 9:03:49,Indonesia,Jakarta,Woman,25 - 30,UX Designer,Fixed term contractor,Mid-level IC,Product / UX design,3,4,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"11,150,000",,,,"133,800,000","11,239","Paid medical leave, Paid time off / vacation time, Health insurance",Government,Government & public services,201 - 1000,11 - 50,Yes,Fully on-site,
2024-10-23 9:04:58,Indonesia,Jakarta,Man,25 - 30,Product designer,Full-time employee,Mid-level IC,Product / UX design,6,7,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Online certification (e.g. Coursera or IDF)",TRUE,TRUE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"16,700,000","16,700,000",,,"217,100,000","18,236",Health insurance,Agency / Consulting,"Technology, media & telecommunications",11 - 50,2 - 10,Yes,Fully on-site,
2024-10-23 9:06:21,Indonesia,Bandung,Prefer not to respond,25 - 30,Animator/Motion Graphic Designer,Full-time employee,Mid-level IC,Motion / animation design,4,4,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..), Self-taught / informal / unstructured courses",TRUE,FALSE,FALSE,FALSE,TRUE,No,IDR,Monthly,,"4,250,000","10,000,000",,,"61,000,000","5,124","Health insurance, Paid time off / vacation time, Paid medical leave",Start-up,"Technology, media & telecommunications",11 - 50,2 - 10,No,2 days on-site,
2024-10-23 9:07:44,Indonesia,Surabaya,Man,25 - 30,UI/UX Designer,Self-employed (Freelancers; own company),Junior IC (Entry level),Product / UX design,2,4,Bachelor's degree,Yes,"Online certification (e.g. Coursera or IDF), Bootcamps (e.g. General Assembly), In-person certified courses",FALSE,TRUE,TRUE,TRUE,FALSE,No,IDR,Monthly,,"3,500,000",,,,"42,000,000","3,528",Transport subsidies,Start-up,Consumer products,51 - 200,Team of 1,Yes,2 days on-site,PT Solomon Indo Global
2024-10-23 9:09:20,Indonesia,Jakarta,Man,25 - 30,Product Designer,Full-time employee,Mid-level IC,Product / UX design,7,8,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"24,000,000","24,000,000",,,"312,000,000","26,208","Dental insurance, Paid medical leave, Flexible schedule, Health insurance",Government,Government & public services,201 - 1000,11 - 50,No,Fully remote,GovTech Edu
2024-10-23 9:09:54,Indonesia,Jakarta,Man,25 - 30,UIUX Designer,Full-time employee,Mid-level IC,Product / UX design,4,3,Diploma,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Annual,"160,000,000",,,,"1,000,000","161,000,000","13,524","Professional development, training, or learning fund, Onsite food / snacks, Health insurance, Paid time off / vacation time, Wellness (gym, fitness, etc)",Start-up,"Technology, media & telecommunications",51 - 200,2 - 10,No,Fully on-site,
2024-10-23 9:11:39,Indonesia,Jakarta,Woman,25 - 30,Graphic Designer,Fixed term contractor,Mid-level IC,Marketing / graphic design,3,2,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"9,000,000",,,,"108,000,000","9,072",Providing laptop,Large enterprise (MNC),Consumer products,"1001 - 10,000",Team of 1,Yes,4 days on-site,Multi Bintang Indonesia part of Heineken Company
2024-10-23 9:16:47,Singapore,Singapore,Woman,25 - 30,UI UX Designer,Full-time employee,Mid-level IC,Visual / UI design,2,4,Master's degree,No,,,,,,,No,SGD,Monthly,,"3,700",,,,"44,400","44,400","Paid medical leave, Paid time off / vacation time, Onsite food / snacks, Health insurance",Agency / Consulting,"Technology, media & telecommunications",11 - 50,2 - 10,Not applicable,4 days on-site,
2024-10-23 9:17:23,Indonesia,Jakarta,Woman,25 - 30,Product Designer,Full-time employee,Mid-level IC,Product / UX design,4,4,Bachelor's degree,Yes,"Formal design education (Diploma, Degree..)",TRUE,FALSE,FALSE,FALSE,FALSE,No,IDR,Monthly,,"9,000,000",,,,"108,000,000","9,072","Internet / mobile phone subsidies, Paid time off / vacation time, Allowance for flexible working arrangement (remote/co-working space), Dental insurance, Paid medical leave, Health insurance, Flexible schedule, Professional development, training, or learning fund",Agency / Consulting,"Technology, media & telecommunications",51 - 200,2 - 10,Yes,4 days on-site,-
2024-10-23 9:18:07,Indonesia,Jakarta,Man,41 - 45,Graphic Designer,Full-time employee,Senior IC,Marketing / graphic design,9,10,Bachelor's degree,Yes,In-person certified courses,FALSE,FALSE,FALSE,TRUE,FALSE,No,IDR,Monthly,,"7,500,000",,,"7,500,000","97,500,000","8,190","Health insurance, Other",Large enterprise (MNC),Industrial products & construction,51 - 200,2 - 10,Yes,Fully on-site,
2024-10-23 9:19:46,Indonesia,Jakarta,Man,31 - 35,Lead uiux designer,Full-time employee,Lead / Staff / Principal IC,Design leadership and management,10,10,High school / secondary school,No,,,,,,,No,IDR,Monthly,,"27,000,000","80,000,000",,,"404,000,000","33,936","Dental insurance, Onsite food / snacks, Health insurance, Paid medical leave",Agency / Consulting,Creative engineering,201 - 1000,11 - 50,No,Fully on-site,Aleph-labs
2024-10-23 9:23:22,Indonesia,Jakarta,Man,25 - 30,UI/UX Designer,Fixed term contractor,Mid-level IC,Product / UX design,2,3,Bachelor's degree,Yes,"Bootcamps (e.g. General Assembly), Self-taught / informal / unstructured courses",FALSE,FALSE,TRUE,FALSE,TRUE,No,IDR,Monthly,,"8,000,000","12,000,000",,,"108,000,000","9,072","Health insurance, Paid medical leave, Paid time off / vacation time",Large enterprise (MNC),Banking & capital markets,"10,001 and above",51 - 100,Yes,Fully on-site,
2024-10-23 9:23:46,Indonesia,Jakarta,Man,18 - 24,UI/UX Designer,Full-time employee,Junior IC (Entry level),Product / UX design,1,1,Bachelor's degree,No,,,,,,,No,IDR,Monthly,,"5,000,000",,,,"60,000,000","5,040",,Agency / Consulting,Banking & capital markets,11 - 50,Team of 1,No,Fully on-site,
2024-10-23 9:24:09,Indonesia,Jakarta,Woman,25 - 30,UI/UX Designer,Full-time employee,Mid-level IC,Product / UX design,4.5,4.5,Bachelor's degree,Yes,"Bootcamps (e.g. General Assembly), Formal design education (Diploma, Degree..)",TRUE,FALSE,TRUE,FALSE,FALSE,No,IDR,Monthly,,"5,500,000","10,000,000",,,"76,000,000","6,384","Health insurance, Professional development, training, or learning fund, Paid time off / vacation time, Paid medical leave, Flexible leave",Small-medium enterprise,Advertising,51 - 200,2 - 10,Yes,2 days on-site,StickEarn
